\xEF\xBB\xBF英文單字,中文解釋
purse,錢包
puzzle,迷惑、智力遊戲
quality,品質、特徵
quarter,四分之一、季度
quickly,快、迅速地
quit,停止、放棄、辭職
quiz,測驗
race,比賽、種族
railroad,鐵路
raincoat,雨衣
raise,舉起、提高、飼養
rapid,快的、迅速的
rare,稀有的
rat,鼠
rather,相當、寧願
reach,到達、伸出、延伸
reading,閱讀、朗讀
reading test,閱讀測驗
realize,實現、認清、認識
reason,理由、原因、理性
receive,接見、接收
recent,新近的、近來的
record,記錄、唱片
recover,重新獲得、恢復
rectangle,長方形
recycle,使再迴圈、重復利用
reflexive,反身代名詞
refuse,拒絕、謝絕
regard,看待、把…視為、敬意
regret,遺憾、後悔
regular,有規律的、定期的
reject,拒絕、駁回
relative,相對的、親戚
remind,提醒、使…想起
rent,租金、租用、出租
repair,修理、修補
reply,回答、答覆
report,報告
Republic of China,中華民國
require,需要、規定、要求
respect,尊敬、尊重
responsible,有責任的
result,結果、成績、導致
return,返回、歸來、歸還
review,評論、回顧、復習
revise,修訂、修正
rise,起立、起身、起床
rob,搶劫
robot,機器人
rock,岩石、搖滾
role,角色、作用
roll,滾動、轉動、麵包卷
roller skating,輪式溜冰
Rome,羅馬
roof,屋頂
root,根部
rope,繩、索
row,一排、行、划船
rub,摩擦、擦拭
rubber,橡皮、橡膠
rubber band,橡皮筋
rude,無禮的、野蠻的
running,奔跑的
running nose,流鼻水
rush,衝、奔、倉促行動
Russia,俄羅斯
Russian,俄羅斯人的、俄語的
safety,安全、平安
sail,帆、航行
sailing,航行、出航
sailor,水手
salesman,銷售員
sample,樣品、標本
San Francisco,舊金山
sand,沙、沙灘
satisfied,滿意的
satisfy,使滿足
saucer,碟子
scared,驚嚇的、恐懼的
scarf,圍巾
scene,一場、地點、景色
schoolmate,校友
science,科學
scientist,科學家
score,得分、分數
screen,螢幕、屏風
seafood,海鮮
search,搜、尋、探查
second grade,二年級
secondary,第二的、次等的
secret,秘密的、秘訣
secretary,秘書、書記
section,切斷、斷片、區域
seed,種子
seek,尋找、追求
seem,好像、似乎
seesaw,蹺蹺板
select,挑選、選擇
selfish,自私的
semester,學期
sense,感覺、意義、判斷力
separate,分離的、分開
servant,僕人
serve,為…服務、招待
service,服務、維修
set,一套、放、安置、規定
seventeenth,第十七
shake,握手
shark,鯊魚
sharp,鋒利的、銳利的
sheet,一張、床單
shelf,棚、架
shine,照耀、發光
shock,震動、震驚、休克
shoes,鞋
shoot,嫩枝、苗
shopping,購物
